"","cod_loc","nomb_loc","cod_upz","nom_upz","area_urbana","poblacion_u","densidad_ur","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_COD_UPZ_EM","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_UPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NomUPZ","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Mujer","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jefe_Hogar_Hombre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInf_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_TrabajoInfampliado_NiÃ±os_5_17_aÃ±os_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Jovenes_14_24_aÃ±os_NINI_%","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_NiÃ±os_0_14_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_65_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Indice_Envegecimiento","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Adultos_Mayores_60_aÃ±os_en_Hogar_Pobre","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Indigena","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Gitano","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Raizal","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Palenquera","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Etnia_Afro","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_PoblaciÃ³n_discapacitada","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_mismosexo","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Personas_Victimas","Informaci_n_poblacional_Encuesta_Multiprop_sito_Bogot__2017_Hogares_con_poblac_discapacitada","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"11",10,"ENGATIVA",72,"BOLIVIA",474.504159406,86279,181.829807579,72,"UPZ72","BOLIVIA",90440,7979,7834,31354,10816,20538,14775,83,0.6,75,0.5,13610,1127,8.3,14874,5529,37.2,8492,481,18,0,0,0,931,2036,0,67,162,1925,5,21,30,5,0,0,72,0.0694444444444444,0.291666666666667,0.416666666666667,0.0694444444444444,0,0
"12",10,"ENGATIVA",105,"JARDIN BOTANICO",161.705211764,2464,15.2376041138,810,"UPZ105","JARDIN BOTANICO",90943,51955,51026,32286,11562,20725,12459,0,0,663,5.3,14590,1030,7.1,13669,10468,76.6,13773,1052,127,0,0,0,287,4184,64,0,0,3314,0,0,5,8,4,0,25,0,0,0.2,0.32,0.16,0
"13",13,"TEUSAQUILLO",109,"CIUDAD SALITRE ORIENTAL",180.529656927,17944,99.3964111241,109,"UPZ109","CIUDAD SALITRE ORIENTAL",51289,186859,183526,18587,4920,13668,7840,19,0.2,5812,74.1,6921,220,3.2,8769,3435,39.2,5160,142,172,0,0,0,180,588,31,0,0,551,0,2,14,7,4,1,29,0,0.0689655172413793,0.482758620689655,0.241379310344828,0.137931034482759,0.0344827586206897
"14",16,"PUENTE ARANDA",43,"SAN RAFAEL",329.312713782,76749,233.05811403,43,"UPZ43","SAN RAFAEL",66094,45628,44812,22863,8597,14266,9195,68,0.7,578,6.3,10965,1746,15.9,9443,5689,60.2,8078,1034,123,0,12,20,300,2697,12,642,1734,2296,2,23,43,18,4,0,93,0.021505376344086,0.247311827956989,0.462365591397849,0.193548387096774,0.043010752688172,0
"15",18,"RAFAEL URIBE URIBE",60,"PARQUE ENTRENUBES",37.0197937552,NA,0,812,"UPZ60","PARQUE ENTRENUBES",40778,66337,65153,12603,4481,8121,9611,125,1.3,1389,14.5,7959,2207,27.7,10326,1641,15.9,2885,917,46,0,0,0,671,1480,8,69,176,1362,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"16",19,"CIUDAD BOLIVAR",63,"EL MOCHUELO",316.734955971,1466,4.6284755515,815,"UPZ63","EL MOCHUELO",63145,40133,39416,20183,9314,10869,15604,279,1.8,1331,8.5,12568,3184,25.3,16973,2870,16.9,4268,1920,89,0,0,0,156,2807,38,189,570,2296,0,0,1,5,0,0,6,0,0,0.166666666666667,0.833333333333333,0,0
"17",19,"CIUDAD BOLIVAR",68,"EL TESORO",210.862210964,47624,225.853650032,815,"UPZ68","EL TESORO",63145,40133,39416,20183,9314,10869,15604,279,1.8,1331,8.5,12568,3184,25.3,16973,2870,16.9,4268,1920,89,0,0,0,156,2807,38,189,570,2296,14,20,19,1,0,0,58,0.241379310344828,0.344827586206897,0.327586206896552,0.0172413793103448,0,0
"18",1,"USAQUEN",12,"TOBERIN",290.663146859,52018,178.963176316,12,"UPZ12","TOBERIN",50037,39126,38428,17423,6321,11102,7777,142,1.8,1296,16.7,8266,756,9.1,7931,4335,54.7,6291,341,31,0,0,0,211,1908,113,41,122,1668,6,18,13,11,1,1,55,0.109090909090909,0.327272727272727,0.236363636363636,0.2,0.0181818181818182,0.0181818181818182
"19",1,"USAQUEN",14,"USAQUEN",492.691983265,41634,84.50310014,803,"UPZ14","USAQUEN",115124,9496,9327,52362,20130,32233,12525,182,1.5,244,2,16778,872,5.2,12713,16189,127.3,22707,872,1055,0,159,34,1084,4589,239,0,0,4272,0,23,11,49,13,2,102,0,0.225490196078431,0.107843137254902,0.480392156862745,0.127450980392157,0.0196078431372549
"20",5,"USME",59,"ALFONSO LOPEZ",216.493429751,54095,249.869014788,811,"UPZ59","ALFONSO LOPEZ",81261,58080,57044,24097,11073,13023,19355,124,0.6,487,2.5,15065,4519,30,20583,3445,16.7,5325,2475,96,0,0,0,401,2959,0,110,219,2198,1,13,24,0,0,0,48,0.0208333333333333,0.270833333333333,0.5,0,0,0
"21",9,"FONTIBON",112,"GRANJAS DE TECHO",477.255354063,22861,47.9009817394,112,"UPZ112","GRANJAS DE TECHO",24897,46167,45346,9193,2424,6769,3438,5,0.1,290,8.4,2957,233,7.9,4382,1084,24.7,1824,122,73,0,14,0,176,573,54,34,107,556,5,10,2,10,9,12,68,0.0735294117647059,0.147058823529412,0.0294117647058824,0.147058823529412,0.132352941176471,0.176470588235294
"22",10,"ENGATIVA",73,"GARCES NAVAS",555.040743711,149186,268.783871617,73,"UPZ73","GARCES NAVAS",148791,84134,82632,47033,17655,29378,24097,37,0.2,3073,12.8,24172,3078,12.7,25269,10887,43.1,17662,1348,138,0,0,0,1110,5317,108,164,429,4655,14,28,42,14,13,10,137,0.102189781021898,0.204379562043796,0.306569343065693,0.102189781021898,0.0948905109489051,0.072992700729927
"23",11,"SUBA",25,"LA FLORESTA",393.477586199,25324,64.3594473694,805,"UPZ25","LA FLORESTA",91513,13463,13222,38426,15271,23155,10475,0,0,172,1.6,11574,493,4.3,10355,14585,140.8,19034,197,44,95,41,0,73,2097,382,41,41,1930,10,4,9,12,5,3,52,0.192307692307692,0.0769230769230769,0.173076923076923,0.230769230769231,0.0961538461538462,0.0576923076923077
"24",13,"TEUSAQUILLO",100,"GALERIAS",237.568113094,34344,144.564855749,100,"UPZ100","GALERIAS",24215,61124,60034,10908,4721,6188,2386,70,2.9,661,27.7,3613,260,7.2,2372,3352,141.3,4813,193,0,0,0,0,178,894,89,78,137,841,7,8,17,20,11,1,72,0.0972222222222222,0.111111111111111,0.236111111111111,0.277777777777778,0.152777777777778,0.0138888888888889
"25",16,"PUENTE ARANDA",111,"PUENTE ARANDA",356.447429991,14658,41.122473517,809,"UPZ111","PUENTE ARANDA",18183,25244,24793,7051,2798,4253,2112,35,1.7,362,17.2,3578,677,18.9,2305,1187,51.5,1668,350,111,0,16,0,119,1351,27,58,170,1132,5,7,16,14,8,4,57,0.087719298245614,0.12280701754386,0.280701754385965,0.245614035087719,0.140350877192982,0.0701754385964912
"26",19,"CIUDAD BOLIVAR",69,"ISMAEL PERDOMO",558.606026003,163692,293.036581025,69,"UPZ69","ISMAEL PERDOMO",188751,39571,38867,57201,20025,37176,41742,514,1.2,1646,3.9,34069,7143,21,44480,7523,16.9,12408,2345,388,0,0,0,561,6800,294,194,539,5958,17,66,30,8,3,3,141,0.120567375886525,0.468085106382979,0.212765957446809,0.0567375886524823,0.0212765957446809,0.0212765957446809
"27",1,"USAQUEN",16,"SANTA BARBARA",458.698320974,51474,112.217546144,803,"UPZ16","SANTA BARBARA",115124,9496,9327,52362,20130,32233,12525,182,1.5,244,2,16778,872,5.2,12713,16189,127.3,22707,872,1055,0,159,34,1084,4589,239,0,0,4272,3,8,51,10,9,6,89,0.0337078651685393,0.0898876404494382,0.573033707865168,0.112359550561798,0.101123595505618,0.0674157303370786
"28",2,"CHAPINERO",89,"SAN ISIDRO-PATIOS",113.01823434,16201,143.348549857,89,"UPZ89","SAN ISIDRO - PATIOS",17088,34705,34083,5663,2272,3391,3815,91,2.4,1405,36.8,3167,700,22.1,4358,805,18.5,1272,216,7,0,0,0,241,419,18,124,361,388,0,15,1,0,0,0,16,0,0.9375,0.0625,0,0,0
"29",3,"SANTA FE",92,"LA MACARENA",85.8972814617,14350,167.060001851,92,"UPZ92","LA MACARENA",11570,5784,5786,4909,2183,2726,1532,27,1.8,65,4.2,1840,346,18.8,1512,1336,88.4,1959,331,43,0,3,9,72,534,49,22,65,453,3,3,6,0,0,0,13,0.230769230769231,0.230769230769231,0.461538461538462,0,0,0
"30",4,"SAN CRISTOBAL",33,"SOSIEGO",234.91634485,46766,199.075121954,33,"UPZ33","SOSIEGO",45890,37697,37023,15120,5216,9903,7408,32,0.4,882,11.9,7515,1423,18.9,7989,3336,41.8,5398,716,99,0,0,0,367,1173,15,27,42,1072,6,23,4,5,2,5,57,0.105263157894737,0.403508771929825,0.0701754385964912,0.087719298245614,0.0350877192982456,0.087719298245614
"31",8,"KENNEDY",45,"CARVAJAL",438.593005327,96337,219.650105747,45,"UPZ45","CARVAJAL",133515,65320,64153,45436,16616,28820,21890,198,0.9,328,1.5,22157,4418,19.9,23670,12005,50.7,16326,4166,61,0,0,0,1218,5556,212,439,1431,4565,6,44,17,22,20,5,118,0.0508474576271186,0.372881355932203,0.144067796610169,0.186440677966102,0.169491525423729,0.0423728813559322
"32",8,"KENNEDY",83,"LAS MARGARITAS",147.241546489,14786,100.420026498,83,"UPZ83","LAS MARGARITAS",15813,53158,52209,4974,1524,3450,3184,21,0.7,1082,34,2605,438,16.8,3534,403,11.4,693,171,14,0,0,0,107,185,0,4,21,176,0,0,6,4,1,0,13,0,0,0.461538461538462,0.307692307692308,0.0769230769230769,0
"33",9,"FONTIBON",110,"CIUDAD SALITRE OCCIDENTAL",225.701253811,41106,182.125705134,110,"UPZ110","CIUDAD SALITRE OCCIDENTAL",49200,133923,131536,20629,8829,11800,5726,0,0,2682,46.8,7945,563,7.1,6038,5778,95.7,9266,241,37,1865,0,19,284,1421,0,50,162,1243,5,8,9,13,9,1,45,0.111111111111111,0.177777777777778,0.2,0.288888888888889,0.2,0.0222222222222222
"34",11,"SUBA",18,"BRITALIA",328.656231464,57730,175.654664276,18,"UPZ18","BRITALIA",69961,45866,45046,26173,9544,16629,10694,39,0.4,768,7.2,11074,1038,9.4,11524,4922,42.7,7416,700,54,0,0,0,303,2367,75,95,421,2124,11,30,10,5,4,0,62,0.17741935483871,0.483870967741935,0.161290322580645,0.0806451612903226,0.0645161290322581,0
"35",11,"SUBA",27,"SUBA",652.901130738,134709,206.323735184,27,"UPZ27","SUBA",158990,38843,38153,52890,18431,34459,29813,107,0.4,530,1.8,25498,4386,17.2,33264,8243,24.8,13483,1854,545,0,0,0,421,3697,126,431,1213,3343,7,31,34,14,0,0,96,0.0729166666666667,0.322916666666667,0.354166666666667,0.145833333333333,0,0
"36",12,"BARRIOS UNIDOS",103,"PARQUE EL SALITRE",165.246908484,4141,25.0594703283,807,"UPZ103","PARQUE SALITRE",121977,25225,24775,43124,18315,24809,16061,76,0.5,709,4.4,16683,1562,9.4,18496,14057,76,19429,1656,76,0,79,0,302,5815,76,31,62,5102,0,3,2,9,5,0,20,0,0.15,0.1,0.45,0.25,0
"37",13,"TEUSAQUILLO",106,"LA ESMERALDA",192.878482398,33784,175.156915276,808,"UPZ106","LA ESMERALDA",26685,34523,33907,10404,3302,7102,3125,18,0.6,786,25.1,3672,151,4.1,3040,4395,144.6,6044,151,30,0,0,0,33,1010,0,13,25,882,0,1,3,12,8,0,25,0,0.04,0.12,0.48,0.32,0
"38",18,"RAFAEL URIBE URIBE",39,"QUIROGA",384.046822311,87121,226.849943649,39,"UPZ39","QUIROGA",83505,31857,31288,26989,10710,16280,13964,117,0.8,1056,7.6,13355,1820,13.6,14853,7961,53.6,11904,2355,25,27,0,0,555,3948,23,175,543,3392,9,21,17,10,18,5,88,0.102272727272727,0.238636363636364,0.193181818181818,0.113636363636364,0.204545454545455,0.0568181818181818
"39",18,"RAFAEL URIBE URIBE",53,"MARCO FIDEL SUAREZ",184.536569132,65877,356.98615353,801,"UPZ53","MARCO FIDEL SUAREZ",105367,12216,11999,34623,10820,23803,18988,366,1.9,211,1.1,16673,3628,21.8,20647,9193,44.5,13120,2612,334,0,27,0,1345,5186,0,90,351,4479,3,21,21,0,0,0,50,0.06,0.42,0.42,0,0,0
"40",18,"RAFAEL URIBE URIBE",55,"DIANA TURBAY",211.433160976,79191,374.543896683,55,"UPZ55","DIANA TURBAY",70325,11241,11044,22871,8187,14684,14996,197,1.3,343,2.3,12578,3538,28.1,17549,3445,19.6,5786,1090,119,0,0,0,811,4071,0,421,1309,3431,0,27,16,8,3,0,58,0,0.46551724137931,0.275862068965517,0.137931034482759,0.0517241379310345,0
"41",19,"CIUDAD BOLIVAR",65,"ARBORIZADORA",306.264190866,60752,198.364685823,65,"UPZ65","ARBORIZADORA",74720,92918,91264,26350,11109,15241,13945,115,0.8,2949,21.2,12043,1824,15.1,15018,3387,22.6,5358,852,226,0,82,0,292,2498,0,204,1010,2138,5,7,16,14,10,2,58,0.0862068965517241,0.120689655172414,0.275862068965517,0.241379310344828,0.172413793103448,0.0344827586206897
"42",1,"USAQUEN",11,"SAN CRISTOBAL NORTE",275.277506205,72680,264.024478433,11,"UPZ11","SAN CRISTOBAL NORTE",68430,15993,15707,23044,10273,12771,12679,70,0.6,492,3.9,11295,2334,20.7,14214,5006,35.2,7350,1318,0,0,0,28,591,4658,38,191,574,3538,6,52,17,14,2,0,91,0.0659340659340659,0.571428571428571,0.186813186813187,0.153846153846154,0.021978021978022,0
"43",1,"USAQUEN",15,"COUNTRY CLUB",285.606835551,24678,86.4054949959,803,"UPZ15","COUNTRY CLUB",115124,9496,9327,52362,20130,32233,12525,182,1.5,244,2,16778,872,5.2,12713,16189,127.3,22707,872,1055,0,159,34,1084,4589,239,0,0,4272,2,4,9,7,1,3,31,0.0645161290322581,0.129032258064516,0.290322580645161,0.225806451612903,0.032258064516129,0.0967741935483871
"44",4,"SAN CRISTOBAL",51,"LOS LIBERTADORES",364.939485846,73429,201.2087013,51,"UPZ51","LOS LIBERTADORES",68788,27102,22098,21559,8055,13504,15220,136,0.9,528,3.5,12003,2841,23.7,16912,4333,25.6,5917,1281,57,0,0,0,634,2602,52,164,560,2066,7,29,25,5,1,0,68,0.102941176470588,0.426470588235294,0.367647058823529,0.0735294117647059,0.0147058823529412,0
"45",5,"USME",52,"LA FLORA",187.716025612,18507,98.59041038,52,"UPZ52","LA FLORA",16030,12560,12337,4777,1864,2913,4058,54,1.3,204,5,2946,990,33.6,4405,714,16.2,1269,643,42,3,0,0,34,754,0,19,41,675,3,13,11,0,0,0,27,0.111111111111111,0.481481481481481,0.407407407407407,0,0,0
"46",5,"USME",57,"GRAN YOMASA",535.798612383,138142,257.824482571,57,"UPZ57","GRAN YOMASA",120223,53902,52941,35711,13263,22447,24854,128,0.5,832,3.3,22730,5631,24.8,26761,6633,24.8,10070,3159,111,0,0,0,220,4522,0,310,1425,3979,2,49,23,8,5,2,99,0.0202020202020202,0.494949494949495,0.232323232323232,0.0808080808080808,0.0505050505050505,0.0202020202020202
"47",7,"BOSA",84,"BOSA OCCIDENTAL",430.379853645,178960,415.818720334,84,"UPZ84","BOSA OCCIDENTAL",223493,44492,43701,68403,20698,47705,48703,378,0.8,1944,4,41540,9424,22.7,52828,9340,17.7,16017,5510,629,72,0,0,1396,8502,92,883,2853,7411,2,31,32,23,13,13,125,0.016,0.248,0.256,0.184,0.104,0.104
"48",8,"KENNEDY",79,"CALANDAIMA",318.934387072,68328,214.238422602,79,"UPZ79","CALANDAIMA",71056,8875,9308,21461,7263,14199,16172,101,0.6,95,0.6,11075,2005,18.1,19621,2008,10.2,3100,543,161,0,0,0,529,1935,25,0,0,1556,1,39,24,1,0,0,76,0.0131578947368421,0.513157894736842,0.315789473684211,0.0131578947368421,0,0
"49",9,"FONTIBON",114,"MODELIA",261.581365518,39410,150.660579059,114,"UPZ114","MODELIA",52601,33512,32915,18309,7149,11159,7288,35,0.5,572,7.9,8116,846,10.4,7194,5069,70.5,7913,207,38,0,14,0,337,1328,0,45,146,1272,1,14,7,4,4,0,33,0.0303030303030303,0.424242424242424,0.212121212121212,0.121212121212121,0.121212121212121,0
"50",10,"ENGATIVA",74,"ENGATIVA",587.63454342,130828,222.634971795,74,"UPZ74","ENGATIVA",129473,21863,21474,39518,13517,26002,25585,103,0.4,782,3.1,21065,3862,18.3,29289,5752,19.6,9943,1387,191,45,0,0,1162,4537,96,0,0,3687,2,17,7,12,15,17,77,0.025974025974026,0.220779220779221,0.0909090909090909,0.155844155844156,0.194805194805195,0.220779220779221
"51",13,"TEUSAQUILLO",104,"PARQUE SIMON BOLIVAR-CAN",398.684265835,3404,8.5380846241,808,"UPZ104","PARQUE SIMON BOLIVAR - CAN",26685,34523,33907,10404,3302,7102,3125,18,0.6,786,25.1,3672,151,4.1,3040,4395,144.6,6044,151,30,0,0,0,33,1010,0,13,25,882,0,1,21,10,5,0,38,0,0.0263157894736842,0.552631578947368,0.263157894736842,0.131578947368421,0
"52",16,"PUENTE ARANDA",41,"MUZU",252.822051232,57052,225.660695821,41,"UPZ41","MUZU",50106,78889,77486,16052,6183,9869,7402,127,1.7,2266,30.6,8300,1117,13.5,7347,4563,62.1,6483,908,0,0,0,0,53,2277,18,65,195,1947,2,29,16,10,2,7,69,0.0289855072463768,0.420289855072464,0.231884057971014,0.144927536231884,0.0289855072463768,0.101449275362319
"53",19,"CIUDAD BOLIVAR",66,"SAN FRANCISCO",178.603384328,76213,426.716438139,66,"UPZ66","SAN FRANCISCO",95541,10168,9987,30585,13467,17118,18177,273,1.5,18,0.1,17726,4025,22.7,20750,6290,30.3,9095,1640,37,0,47,0,1422,4421,0,145,489,3974,8,15,18,11,3,1,61,0.131147540983607,0.245901639344262,0.295081967213115,0.180327868852459,0.0491803278688525,0.0163934426229508
